DlangUI log file
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiCondensed)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiCondensed)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiBold SemiConden)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiBold SemiConden)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiBold SemiConden)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiBold SemiConden)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiBold SemiConden)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiBold SemiConden)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiBold SemiConden)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift Light Condensed)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift Light Condensed)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift Light Condensed)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift Light Condensed)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift Light Condensed)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift Light Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift Light Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift SemiLight Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift SemiLight Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift SemiLight Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift SemiLight Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift SemiLight Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift SemiLight Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift SemiLight Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift SemiBold Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift SemiBold Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift SemiBold Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift SemiBold Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift SemiBold Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift SemiBold Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Bahnschrift SemiBold Condensed)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri Light)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri Light)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri Light)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri Light)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri Light)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri Light)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri Light)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri Light)
2026-03-02 20:41:15.843 D  registerFont(SansSerif,Calibri Light)
2026-03-02 20:41:15.843 D  registerFont(Serif,Cambria)
2026-03-02 20:41:15.843 D  registerFont(Serif,Cambria)
2026-03-02 20:41:15.843 D  registerFont(Serif,Cambria)
2026-03-02 20:41:15.843 D  registerFont(Serif,Cambria)
2026-03-02 20:41:15.843 D  registerFont(Serif,Cambria)
2026-03-02 20:41:15.843 D  registerFont(Serif,Cambria)
2026-03-02 20:41:15.843 D  registerFont(Serif,Cambria)
2026-03-02 20:41:15.844 D  registerFont(Serif,Cambria Math)
2026-03-02 20:41:15.844 D  registerFont(Serif,Cambria Math)
2026-03-02 20:41:15.844 D  registerFont(Serif,Cambria Math)
2026-03-02 20:41:15.844 D  registerFont(Serif,Cambria Math)
2026-03-02 20:41:15.844 D  registerFont(Serif,Cambria Math)
2026-03-02 20:41:15.844 D  registerFont(Serif,Cambria Math)
2026-03-02 20:41:15.844 D  registerFont(Serif,Cambria Math)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Candara)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Candara)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Candara)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Candara)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Candara)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Candara)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Candara)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Candara Light)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Candara Light)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Candara Light)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Candara Light)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Candara Light)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Candara Light)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Candara Light)
2026-03-02 20:41:15.844 D  registerFont(Cursive,Comic Sans MS)
2026-03-02 20:41:15.844 D  registerFont(Cursive,Comic Sans MS)
2026-03-02 20:41:15.844 D  registerFont(Cursive,Comic Sans MS)
2026-03-02 20:41:15.844 D  registerFont(Cursive,Comic Sans MS)
2026-03-02 20:41:15.844 D  registerFont(Cursive,Comic Sans MS)
2026-03-02 20:41:15.844 D  registerFont(Cursive,Comic Sans MS)
2026-03-02 20:41:15.844 D  registerFont(MonoSpace,Consolas)
2026-03-02 20:41:15.844 D  registerFont(MonoSpace,Consolas)
2026-03-02 20:41:15.844 D  registerFont(MonoSpace,Consolas)
2026-03-02 20:41:15.844 D  registerFont(MonoSpace,Consolas)
2026-03-02 20:41:15.844 D  registerFont(MonoSpace,Consolas)
2026-03-02 20:41:15.844 D  registerFont(MonoSpace,Consolas)
2026-03-02 20:41:15.844 D  registerFont(MonoSpace,Consolas)
2026-03-02 20:41:15.844 D  registerFont(Serif,Constantia)
2026-03-02 20:41:15.844 D  registerFont(Serif,Constantia)
